date;prix;rendements
31/12/2015;5,217;0,002498078
04/01/2016;4,984;-0,044661683
05/01/2016;5,012;0,005617978
06/01/2016;4,852;-0,031923384
07/01/2016;4,691;-0,033182193
08/01/2016;4,59;-0,02153059
11/01/2016;4,517;-0,015904139
12/01/2016;4,571;0,011954837
13/01/2016;4,577;0,001312623
14/01/2016;4,463;-0,024907144
15/01/2016;4,26;-0,0454851
18/01/2016;4,017;-0,057042254
19/01/2016;4,163;0,036345531
20/01/2016;3,985;-0,042757627
21/01/2016;4,16;0,04391468
22/01/2016;4,375;0,051682692
25/01/2016;4,26;-0,026285714
26/01/2016;4,367;0,025117371
27/01/2016;4,308;-0,013510419
28/01/2016;4,437;0,02994429
29/01/2016;4,515;0,017579446
01/02/2016;4,47;-0,009966777
02/02/2016;4,208;-0,058612975
03/02/2016;4,025;-0,043488593
04/02/2016;4,162;0,034037267
05/02/2016;4,277;0,027630947
08/02/2016;4,083;-0,045358896
09/02/2016;3,86;-0,054616703
10/02/2016;4,101;0,062435233
11/02/2016;4,329;0,055596196
12/02/2016;4,409;0,018480018
15/02/2016;4,652;0,055114538
16/02/2016;4,709;0,012252794
17/02/2016;4,732;0,004884264
18/02/2016;4,632;-0,021132713
19/02/2016;4,54;-0,019861831
22/02/2016;4,739;0,043832599
23/02/2016;4,643;-0,020257438
24/02/2016;4,521;-0,026276115
25/02/2016;4,65;0,02853351
26/02/2016;4,869;0,047096774
29/02/2016;4,936;0,013760526
01/03/2016;5,06;0,025121556
02/03/2016;5,145;0,016798419
03/03/2016;5,202;0,011078717
04/03/2016;5,169;-0,006343714
07/03/2016;5,011;-0,030566841
08/03/2016;4,93;-0,016164438
09/03/2016;4,9;-0,006085193
10/03/2016;4,78;-0,024489796
11/03/2016;5,083;0,063389121
14/03/2016;5,024;-0,011607319
15/03/2016;4,903;-0,024084395
16/03/2016;4,863;-0,00815827
17/03/2016;4,752;-0,022825416
18/03/2016;4,738;-0,002946128
21/03/2016;4,716;-0,004643309
22/03/2016;4,679;-0,007845632
23/03/2016;4,574;-0,022440692
24/03/2016;4,426;-0,032356799
29/03/2016;4,377;-0,011070944
30/03/2016;4,365;-0,002741604
31/03/2016;4,327;-0,008705613
01/04/2016;4,326;-0,000231107
04/04/2016;4,322;-0,000924642
05/04/2016;4,191;-0,030310042
06/04/2016;4,24;0,01169172
07/04/2016;4,163;-0,018160377
08/04/2016;4,289;0,030266635
11/04/2016;4,374;0,019818139
12/04/2016;4,437;0,014403292
13/04/2016;4,785;0,078431373
14/04/2016;4,771;-0,00292581
15/04/2016;4,68;-0,019073569
18/04/2016;4,672;-0,001709402
19/04/2016;4,724;0,011130137
20/04/2016;4,871;0,031117697
21/04/2016;4,856;-0,00307945
22/04/2016;4,898;0,008649094
25/04/2016;4,738;-0,032666394
26/04/2016;4,893;0,032714225
27/04/2016;4,847;-0,009401185
28/04/2016;4,908;0,012585104
29/04/2016;4,817;-0,018541157
02/05/2016;4,726;-0,018891426
03/05/2016;4,542;-0,038933559
04/05/2016;4,402;-0,030823426
05/05/2016;4,334;-0,015447524
06/05/2016;4,361;0,006229811
09/05/2016;4,386;0,00573263
10/05/2016;4,083;-0,069083447
11/05/2016;4,201;0,028900318
12/05/2016;4,134;-0,015948584
13/05/2016;4,229;0,022980164
16/05/2016;4,207;-0,005202175
17/05/2016;4,266;0,014024245
18/05/2016;4,351;0,019924988
19/05/2016;4,337;-0,003217651
20/05/2016;4,4;0,01452617
23/05/2016;4,4;0
24/05/2016;4,577;0,040227273
25/05/2016;4,75;0,037797684
26/05/2016;4,752;0,000421053
27/05/2016;4,46;-0,061447811
30/05/2016;4,4;-0,013452915
31/05/2016;4,338;-0,014090909
01/06/2016;4,296;-0,009681881
02/06/2016;4,301;0,001163873
03/06/2016;4,22;-0,01883283
06/06/2016;4,185;-0,008293839
07/06/2016;4,319;0,032019116
08/06/2016;4,288;-0,007177587
09/06/2016;4,208;-0,018656716
10/06/2016;4,053;-0,036834601
13/06/2016;3,904;-0,036762892
14/06/2016;3,805;-0,025358607
15/06/2016;3,816;0,002890933
16/06/2016;3,735;-0,021226415
17/06/2016;3,912;0,047389558
20/06/2016;4,055;0,036554192
21/06/2016;4,073;0,004438964
22/06/2016;4,05;-0,005646943
23/06/2016;4,15;0,024691358
24/06/2016;3,439;-0,171325301
27/06/2016;3,27;-0,049142192
28/06/2016;3,347;0,023547401
29/06/2016;3,377;0,008963251
30/06/2016;3,409;0,009475866
01/07/2016;3,388;-0,006160164
04/07/2016;3,336;-0,015348288
05/07/2016;3,165;-0,051258993
06/07/2016;3,077;-0,027804107
07/07/2016;3,149;0,023399415
08/07/2016;3,309;0,050809781
11/07/2016;3,342;0,009972801
12/07/2016;3,427;0,025433872
13/07/2016;3,311;-0,033848847
14/07/2016;3,475;0,049531863
15/07/2016;3,458;-0,004892086
18/07/2016;3,426;-0,009253904
19/07/2016;3,437;0,003210741
20/07/2016;3,462;0,007273785
21/07/2016;3,462;0
22/07/2016;3,455;-0,002021953
25/07/2016;3,419;-0,010419682
26/07/2016;3,382;-0,010821878
27/07/2016;3,534;0,04494382
28/07/2016;3,425;-0,030843237
29/07/2016;3,685;0,075912409
01/08/2016;3,643;-0,011397558
02/08/2016;3,422;-0,060664288
03/08/2016;3,408;-0,004091175
04/08/2016;3,458;0,014671362
05/08/2016;3,589;0,037883169
08/08/2016;3,62;0,008637503
09/08/2016;3,712;0,025414365
10/08/2016;3,813;0,027209052
11/08/2016;3,804;-0,002360346
12/08/2016;3,782;-0,005783386
15/08/2016;3,772;-0,002644104
16/08/2016;3,745;-0,007158006
17/08/2016;3,672;-0,019492657
18/08/2016;3,644;-0,007625272
19/08/2016;3,59;-0,01481888
22/08/2016;3,665;0,020891365
23/08/2016;3,737;0,019645293
24/08/2016;3,796;0,015788065
25/08/2016;3,773;-0,006059009
26/08/2016;3,813;0,010601643
29/08/2016;3,77;-0,01127721
30/08/2016;3,872;0,027055703
31/08/2016;3,966;0,02427686
01/09/2016;3,991;0,00630358
02/09/2016;4,045;0,013530443
05/09/2016;3,976;-0,017058096
06/09/2016;3,963;-0,003269618
07/09/2016;3,976;0,003280343
08/09/2016;4,072;0,024144869
09/09/2016;4,086;0,003438114
12/09/2016;3,965;-0,029613314
13/09/2016;3,929;-0,009079445
14/09/2016;3,936;0,001781624
15/09/2016;3,98;0,011178862
16/09/2016;4,018;0,009547739
19/09/2016;4,041;0,005724241
20/09/2016;3,963;-0,019302153
21/09/2016;4,124;0,040625789
22/09/2016;4,143;0,004607177
